Date,Time,pH,Temperature,DissolvedOxygen,Turbidity,Conductivity,Salinity
2026-01-01,08:00,7.2,15.3,8.5,2.1,450,0.22
2026-01-01,14:00,7.4,16.8,8.2,1.9,455,0.23
2026-01-01,20:00,7.1,14.5,8.8,2.3,448,0.21
2026-01-02,08:00,7.3,15.9,8.4,2.0,452,0.22
2026-01-02,14:00,7.5,17.2,8.0,1.8,458,0.24
2026-01-02,20:00,7.2,15.1,8.6,2.2,450,0.22
2026-01-03,08:00,7.1,14.8,8.7,2.4,446,0.20
2026-01-03,14:00,7.4,16.5,8.3,1.9,454,0.23
2026-01-03,20:00,7.3,15.4,8.5,2.1,451,0.22
2026-01-04,08:00,7.2,15.6,8.4,2.0,449,0.21
2026-01-04,14:00,7.5,17.1,8.1,1.7,457,0.24
2026-01-04,20:00,7.1,14.9,8.7,2.3,447,0.21
2026-01-05,08:00,7.3,16.0,8.3,2.0,453,0.22
2026-01-05,14:00,7.4,16.7,8.2,1.8,456,0.23
2026-01-05,20:00,7.2,15.2,8.6,2.2,450,0.22